Reg nr,Kandidaat,Kokku,Hääled välisriigist,E-hääled
197,Are Saarne,46,0,13
201,Kristjan Siimson,22,0,4
321,Valdo Randpere,3170,7,1161
323,Marko Torm,1165,2,381
322,Signe Kivi,995,1,387
324,Toomas Varek,907,2,278
327,Indrek Kesküla,532,4,151
325,Leo Aadel,255,0,85
326,Kaido Veski,223,0,64
446,Marko Pomerants,2681,5,936
447,Einar Vallbaum,1044,1,283
448,Mihkel Juhkami,352,4,135
452,Tauno Toompuu,310,0,98
450,Ain Suurkaev,297,0,93
451,Hannes Mets,228,1,69
449,Helle Noorväli,215,1,80
536,Agu Kivimägi,124,0,55
537,Reigo Lehtla,75,0,30
567,Tõnu Veeremaa,17,0,3
636,Emil Rutiku,1243,3,416
637,Elmu Koppelmann,469,1,196
642,Heiki Hallik,241,0,80
639,Marika Tali,104,0,30
640,Kristo Krumm,95,0,41
638,Rein Kotšin,33,0,20
641,Veana Heinmets,19,0,6
761,Siret Kotka,2558,4,210
762,Toomas Väinaste,773,0,95
766,Andres Sõber,530,1,91
764,Jelena Fjodorova,455,1,61
767,Urmas Tamm,365,1,44
763,Andres Jaadla,298,0,36
765,Jaanus Mutli,262,1,31
886,Rannar Vassiljev,2172,3,623
887,Kairit Pihlak,537,0,174
888,Eerik Lumiste,371,1,92
889,Ene Augasmägi,342,0,80
892,Maimu Berg,299,1,105
891,Garri Raagmaa,214,0,94
890,Paul Lettens,65,0,17
957,Toomas Tamm,83,0,14
121,Evelyn Danilov,97,0,19
122,Arnold Persidski,43,0,11
123,Ljubov Dorošenko,34,1,2
203,Arno Kodu,693,0,200
204,Mari-Liis Lillemets,141,0,36
207,Mart Kalaus,95,0,15
205,Kai Ird,52,0,19
206,Ksenia Võhma,29,0,9
208,Lauri Õun,19,2,4
211,Tanel Liiva,18,0,3
209,Lauri Karp,15,0,4
210,Piret Janis,6,0,1
328,Deniss Boroditš,769,1,188
331,Aivar Surva,754,0,222
330,Rein Aidma,655,0,227
332,Aivar Saarela,535,0,183
334,Tiit Kuusmik,438,1,126
336,Ain Seppik,326,0,93
329,Toivo Asmer,296,1,103
335,Enno Vinni,243,0,84
333,Aime Keis,98,0,34
453,Anvar Samost,761,0,293
460,Tauno Võhmar,716,0,271
454,Kaja Kreisman,421,1,140
461,Tunne-Väldo Kelam,260,1,83
456,Janek Raik,180,2,38
459,Artur Põld,147,0,34
457,Risto Lindeberg,119,0,27
455,Ants Pauls,118,0,30
458,Aivo Tamm,104,0,19
538,Aleksander Pototski,57,0,19
539,Allan Selin,43,0,13
568,Viktor Malõgin,58,0,7
643,Peeter Kapten,265,1,105
646,Tamara Luigas,197,0,19
644,Inna Rose,108,0,38
645,Jüri Soone,73,0,37
647,Olav Kivirand,58,0,22
651,Avo Blankin,55,0,18
649,Yury Gordeev,26,0,10
648,Evhen Tsybulenko,25,0,9
650,Eino Muruste,18,0,6
768,Yana Toom,11574,1,746
769,Mihhail Stalnuhhin,3648,1,227
776,Martin Repinski,1556,0,124
770,Valeri Korb,1046,1,90
774,Dmitri Dmitrijev,677,0,57
773,Eevi Paasmäe,639,1,42
771,Eldar Efendijev,607,0,77
772,Tarmo Tammiste,429,1,55
775,Riho Kutsar,152,0,16
893,Jevgeni Ossinovski,2784,2,589
894,Etti Kagarov,569,1,178
895,Jaak Allik,369,1,93
898,Kristina Kallas,291,0,64
900,Ants Kutti,254,0,79
901,Toomas Nõmmiste,251,0,92
897,Inna Nazarova,207,0,30
896,Eduard Odinets,173,0,49
899,Genadi Afanassjev,37,0,7
958,Hele Kängsepp,54,0,10
124,Pavo Raudsepp,109,0,28
126,Ott Kukk,80,0,28
125,Ramo Pener,16,0,6
212,Jaak Madison,1883,2,443
215,Enn Sarv,441,2,121
213,Rein Suurkask,197,0,28
214,Marve Piip,124,0,39
220,Helgi Liik,101,0,14
216,Tarmo Hints,99,0,26
217,Raivo Asuküla,94,0,28
219,Gustav Siniväli,77,0,24
218,Timo Kalaus,38,0,9
337,Jürgen Ligi,6757,8,2523
339,Johannes Kert,752,2,322
341,Kristjan Kõljalg,714,0,302
338,Kalle Jents,704,0,218
345,Tõnu Juul,521,2,108
342,Madis Timpson,430,0,147
340,Peep Aru,416,0,158
344,Rait Pihelgas,409,0,159
462,Helir-Valdor Seeder,2908,7,928
463,Kaia Iva,1684,1,522
467,Ene Saar,463,1,164
464,Tiina Oraste,391,1,133
465,Ando Kiviberg,378,2,155
468,Lembit Kruuse,336,0,103
466,Priit Värk,313,1,102
470,Kalju Kertsmik,269,1,75
469,Marko Tiitus,82,0,20
540,Erno Ilsen,103,0,35
541,Ain Kuningas,80,0,24
569,Eduard Tanvel,17,0,1
652,Mati Ilisson,1075,0,386
653,Arlet Palmiste,519,0,205
654,Ain Ostra,170,0,62
655,Ilme Last,143,0,55
660,Mats Õun,128,1,59
656,Väino Rajangu,127,1,56
658,Olev Rahnu,104,0,34
657,Margus Sardis,62,1,32
659,Evi Kirschfeldt,40,0,14
777,Mailis Reps,2981,1,369
779,Kersti Sarapuu,1164,1,127
778,Priit Toobal,1045,0,92
780,Helmut Hallemaa,435,0,44
781,Raivo Matsina,140,0,8
785,Mait Maltis,129,1,22
782,Hannes Männik,105,0,20
784,Ülle Leesmaa,79,0,18
783,Are Riistan,49,0,18
902,Helmen Kütt,3817,8,983
903,Jaanus Marrandi,1050,1,283
905,Alo Aasma,857,1,269
910,Liina Raud,774,0,291
904,Ülle Lumi,684,1,125
907,Arto Saar,621,0,219
906,Randel Länts,584,3,205
908,Erich Palm,260,0,104
909,Kaupo Känd,251,2,69
959,Jaanus Kruusmaa,67,1,11
974,Heli Koit,176,1,58
127,Tõnu Kalja,151,0,34
221,Malle Pärn,1867,4,457
222,Raivo Põldaru,919,0,186
224,Tiit Rosin,352,0,79
226,Olev Teder,179,0,50
227,Kai Tennosaar,161,0,50
225,Mati Köhler,121,1,24
230,Margit Avi,68,0,15
223,Kristian Suve,67,2,19
228,Timo Avi,46,0,12
229,Maret Rätsep,34,0,6
346,Urmas Kruuse,5960,3,2086
347,Igor Gräzin,1973,6,701
348,Mati Raidma,959,1,397
352,Toomas Järveoja,853,0,295
349,Terje Trei,557,1,191
350,Reno Laidre,544,1,246
353,Kalmer Lain,319,0,102
351,Viktor Svjatõšev,297,3,104
354,Kaisa Edenberg,262,1,113
355,Raivo Vadi,172,0,59
472,Aivar Kokk,1725,0,389
471,Jaak Aaviksoo,1405,5,577
474,Andres Arrak,794,0,390
473,Elle Kull,467,4,178
477,Joel Luhamets,413,3,136
475,Anti Orav,365,0,116
480,Mihkel Kübar,302,0,114
476,Toivo Peets,269,0,68
479,Aare Anderson,180,0,64
478,Rain Sangernebo,179,0,56
542,Rasmus Lahtvee,321,3,146
543,Arvo Kuiv,48,0,13
572,Aleksandr Širokov,58,1,4
570,Sergei Sumin,21,0,0
571,Marijam Rannak,8,0,0
661,Märt Meesak,1094,2,412
662,Elo Lutsepp,784,1,317
670,Märt Läänemets,326,0,145
664,Madis Avi,321,1,118
665,Katrin Hauk,128,0,46
668,Raik-Hiio Mikelsaar,121,0,65
663,Tauno Kure,119,0,56
669,Agu Rillo,80,0,29
667,Heino Kaljurand,59,0,20
666,Valeria Kaljuorg,57,0,16
786,Marika Tuus-Laul,2904,0,249
789,Peeter Võsa,1235,2,148
795,Aleksandr Širokov,1137,1,88
788,Peeter Ernits,824,1,86
787,Urbo Vaarmann,431,0,28
793,Andres Raid,295,0,54
790,Aare Olgo,270,0,24
791,Max Kaur,269,0,23
792,Andres Vään,162,0,31
794,Kalle Mihkels,117,0,19
912,Tanel Talve,2294,6,691
911,Jaan Õunapuu,1447,3,413
913,Jüri Morozov,870,0,226
917,Jaan Aiaots,654,1,168
920,Jaan Sõrra,546,1,189
914,Priit Lomp,543,0,166
919,Asso Nettan,500,0,218
915,Triin Pärsim,311,2,123
918,Meelis Karro,242,0,75
916,Kairi Kell,176,0,80
960,Toivo Õunapuu,127,1,23
129,Silver Kuusik,72,1,19
131,Aulis Fischer,23,0,3
130,Merlin Abedi,13,0,7
231,Imre Mürk,1577,14,385
235,Indrek Kalda,542,0,101
233,Merike Lillenberg,229,1,49
232,Kalev Essenson,214,1,51
236,Toivo Suuroja,133,1,46
239,Indrek Särg,116,0,23
234,Ruuben Kaalep,102,0,20
237,Aili Tuhkanen,91,1,23
238,Tiina Pärnpuu,77,1,24
240,Randon Värsi,28,0,9
356,Ants Laaneots,5920,17,2048
357,Anne Sulling,4197,7,1877
358,Urmas Klaas,1501,3,465
359,Rait Maruste,808,5,344
360,Margus Hanson,733,1,243
362,Martin Parmas,563,2,167
365,Valvo Semilarski,412,0,151
361,Mihkel Lees,354,0,172
363,Triin Anette Kaasik,253,2,111
364,Helmer Jõgi,243,0,114
481,Margus Tsahkna,2267,9,711
483,Kalle Muuli,1196,3,441
490,Ene Ergma,798,5,321
482,Peeter Laurson,578,0,173
489,Tõnu Lehtsaar,538,4,184
485,Mihhail Lotman,460,5,228
488,Karl Kull,270,2,124
484,Anneli Kannus,195,2,75
486,Jüri Kõre,113,2,49
487,Piret Orav,63,1,24
545,Mart Jüssi,376,2,150
544,Marko Kaasik,283,0,106
546,Priit Truusalu,66,0,36
573,Viivi-Helbe Peljuhhovska,16,0,0
574,Andres Laidvee,6,0,1
671,Krista Aru,2529,5,933
673,Peeter Volkonski,916,3,375
672,Jüri Adams,720,3,312
674,Piret Tarto,161,2,47
680,Kalle Pilt,157,0,84
675,Hannes Klaas,148,0,76
676,Heiki Krips,124,1,45
677,Urmet Külaots,107,0,58
679,Laili Jõgiaas,75,0,34
678,Arvo Päike,66,0,10
796,Aadu Must,2139,5,223
797,Marina Riisalu,1284,1,72
798,Nikolai Põdramägi,1105,2,68
799,Artjom Suvorov,699,0,59
801,Igor Abarenkov,507,0,36
805,Vladimir Šokman,390,1,30
800,Natalja Trošina,354,2,16
802,Diana Klas,163,1,27
804,Kätlin Takis,81,0,5
803,Rain Suursaar,65,0,14
921,Mihkel Raud,3229,10,1141
922,Heljo Pikhof,2042,3,482
923,Toomas Jürgenstein,817,4,381
925,Gea Kangilaski,595,7,303
924,Kadri Leetmaa,281,1,144
930,Kajar Lember,191,0,61
927,Henri Kaselo,149,1,38
929,Jarno Laur,96,0,36
926,Tõnu Ints,80,0,21
928,Tiina Merkuljeva,61,0,18
961,Veiko Rämmel,39,1,6
969,Urmo Karusoo,111,0,23
132,Piret Haljend,169,0,36
134,Juhan Liiv,73,1,15
133,Jaak Metsalu,38,0,3
241,Uno Kaskpeit,1807,5,450
244,Ants Taul,619,0,137
243,Arno Sild,523,8,78
250,Aivar Mesikäpp,281,0,63
242,Merry Aart,279,1,70
248,Riina Sabalisk,229,0,53
247,Martti Kirotaja,171,1,71
249,Veevi Hõrak,115,0,24
251,Vaino Rauba,107,0,21
245,Artur Karask,88,0,17
246,Endel-Haljand Susi,56,0,7
366,Hanno Pevkur,3816,1,1400
367,Liina Kersna,2387,3,887
368,Meelis Mälberg,1040,1,338
369,Margus Lepik,782,1,291
370,Aivar Rosenberg,645,1,195
372,Agu Kabrits,519,0,115
371,Andrus Seeme,472,0,169
373,Peeter Sibul,408,4,131
374,Jüri Kaver,395,2,129
376,Liivi Maran,384,1,112
375,Anti Haugas,186,0,94
492,Priit Sibul,1491,1,374
501,Igor Taro,1202,2,493
491,Maire Aunaste,679,8,173
494,Ulla Preeden,539,0,174
493,Ülo Tulik,490,0,150
496,Kurmet Müürsepp,330,1,96
495,Arne Tilk,292,1,91
497,Marek Mekk,208,0,77
498,Kalle Vister,205,0,45
499,Jaak Pächter,127,0,37
500,Sirle Rosenfeldt,74,1,33
547,Ago Samoson,196,0,71
548,Zoja Mellov,52,0,20
549,Arvi Matvei,43,0,16
575,Niina Netšajeva,40,2,3
681,Kaul Nurm,1315,1,509
682,Merle Jääger,986,3,385
685,Kaie Herkel,185,0,67
688,Tanel Valk,161,1,43
691,Urmas Ott,129,0,37
684,Ivo Pill,123,0,46
683,Kalle Kaljuste,96,0,33
686,Urmas Heinaste,93,1,46
690,Valev Elerand,72,0,26
689,Silver Saarva,59,0,34
687,Eduard Kassin,15,0,3
806,Heimar Lenk,3398,3,279
808,Tarmo Tamm,1721,0,204
807,Anneli Ott,1119,1,129
810,Alar Nääme,798,0,98
816,Toomas Paur,511,0,42
814,Toivo Tootsen,232,0,29
811,Eve Salundi,224,1,22
809,Janika Usin,200,0,28
812,Andre Laine,197,0,49
813,Liis Tappo-Treial,155,0,19
815,Heidy Tamme,115,2,13
931,Ivari Padar,3992,6,1184
934,Kalvi Kõva,2081,2,554
941,Inara Luigas,1192,2,257
933,Rein Randver,1003,2,230
932,Sirje Tobreluts,849,1,217
936,Tarmo Tamm,452,1,99
937,Silja Suija,390,2,139
935,Raul Kudre,245,0,59
938,Rein Järvelill,218,0,62
940,Sixten Sild,203,0,83
939,Kalev Härk,191,0,68
962,Argo Mõttus,111,0,19
967,Marek Ranne,114,0,48
972,Tarmo Porroson,59,0,16
135,Andrus Soopalu,349,0,78
136,Andres Lainela,32,0,8
252,Mart Helme,6714,10,1516
253,Heldur Paulson,132,0,49
255,Käde Kalamees,84,0,24
254,Helle Kullerkupp,70,0,15
259,Iivi Kallaste,58,0,17
260,Tiina Toomjõe,41,0,11
257,Mati Lehola,28,0,11
258,Heiki Merirand,28,0,6
256,Andrus Lelov,24,0,10
261,Tiina Espenberg,9,0,3
377,Toomas Kivimägi,7603,12,2511
378,Jüri Jaanson,1328,2,469
379,Väino Linde,1206,1,476
380,Väino Hallikmägi,293,0,121
381,Meeli Pärna,263,0,104
382,Riido Villup,202,0,69
386,Kristjan Heamäe,167,1,63
383,Maarja Kõrv,162,0,71
384,Kalev Päit,96,1,33
385,Carmen Illak,92,0,50
503,Andres Metsoja,2207,2,760
502,Annely Akkermann,1571,6,504
511,Trivimi Velliste,451,13,167
504,Rein Kilk,260,1,91
508,Lauri Luur,251,0,77
506,Meelis Kukk,236,0,78
507,Krista Nõmm,221,0,63
510,Mari Suurväli,71,1,21
505,Tiit Matsulevitš,39,1,25
509,Georg Männik,30,0,7
550,Mart Saarso,202,2,83
551,Ove Varik,49,1,20
576,Gennadi Vereštšagin,21,0,1
692,Jüri Saar,1161,3,448
693,Kadri Jäätma,407,1,174
694,Elmo Joa,289,1,107
696,Heli Künnapas,277,0,113
697,Johannes Kass,122,0,25
695,Ants Erm,111,0,44
701,Jaanus Ojangu,77,0,27
700,Rein Prins,59,0,13
698,Enn Rähn,47,0,12
699,Hillar Vaik,46,0,20
817,Kadri Simson,5726,9,646
818,Marko Šorin,464,0,46
819,Hillar Talvik,265,2,21
820,Riho Alliksoo,264,0,27
822,Svetlana Tšipurina,248,1,23
821,Kalle Song,184,0,34
825,Anne Betker,115,4,7
823,Avo Keel,102,1,15
824,Ants Lopsik,100,0,14
826,Argo Mengel,76,0,8
942,Indrek Saar,1944,5,597
945,Mark Soosaar,613,2,177
944,Aet Maatee,504,0,189
947,Valter Parve,363,1,119
946,Mercedes Merimaa,249,2,92
943,Tatjana Jaanson,230,1,64
951,Kadri-Aija Viik,221,0,65
948,Priit Ruut,191,1,61
949,Kalev Kaljuste,182,1,50
950,Andres Hirvela,144,0,48
963,Peeter Paemurru,88,0,15
